date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,15,20,20,20,16,9,73,0.0,1014,19,10,103,10
2018-12-11 03:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,16,20,20,20,5,13,78,0.0,1013,19,10,142,3
2018-12-11 06:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,16,23,25,23,5,15,65,0.0,1015,22,10,179,4
2018-12-11 09:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,15,28,28,28,6,26,47,0.0,1014,27,10,61,5
2018-12-11 12:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,14,29,29,29,10,12,41,0.0,1011,28,10,25,8
2018-12-11 15:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,15,27,27,26,4,30,50,0.0,1011,26,10,122,3
2018-12-11 18:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,15,26,26,25,14,24,55,0.0,1013,24,10,94,10
2018-12-11 21:00:00,28,19,0.0,8.7,1,1,21,09:39 AM,09:22 PM,06:31 AM,05:54 PM,15,21,24,21,20,15,66,0.0,1015,21,10,108,13
2018-12-12 00:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,15,20,20,20,19,12,73,0.0,1015,20,10,103,11
2018-12-12 03:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,16,20,20,20,6,28,77,0.0,1014,19,10,155,4
2018-12-12 06:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,16,25,25,23,5,29,66,0.0,1015,22,10,143,5
2018-12-12 09:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,15,27,27,27,7,46,50,0.0,1015,26,10,78,6
2018-12-12 12:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,15,28,28,27,7,22,48,0.0,1012,27,10,60,6
2018-12-12 15:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,14,27,27,27,10,18,45,0.0,1012,26,10,158,7
2018-12-12 18:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,14,26,26,25,14,8,49,0.0,1014,25,10,142,9
2018-12-12 21:00:00,27,19,0.0,8.7,1,1,29,10:23 AM,10:11 PM,06:32 AM,05:55 PM,15,21,24,21,19,16,70,0.0,1016,21,10,106,12
2018-12-13 00:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,16,20,20,20,16,20,79,0.0,1015,19,10,100,10
2018-12-13 03:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,16,19,19,19,11,56,83,0.0,1015,19,10,125,6
2018-12-13 06:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,17,22,25,22,10,62,72,0.0,1016,22,10,142,8
2018-12-13 09:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,16,27,27,27,3,53,52,0.0,1015,26,10,143,3
2018-12-13 12:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,16,27,27,27,6,30,52,0.1,1013,26,10,87,5
2018-12-13 15:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,16,27,27,26,8,21,55,0.0,1012,25,10,88,6
2018-12-13 18:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,15,25,25,24,17,16,56,0.0,1015,24,10,90,12
2018-12-13 21:00:00,26,19,0.0,8.7,1,1,36,11:06 AM,10:59 PM,06:32 AM,05:55 PM,15,20,20,20,17,21,72,0.0,1016,20,10,93,11
2018-12-14 00:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,16,20,20,20,14,21,78,0.0,1015,19,10,91,9
2018-12-14 03:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,14,19,19,19,14,16,75,0.0,1015,18,10,81,8
2018-12-14 06:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,13,22,25,22,15,11,58,0.0,1016,21,10,78,12
2018-12-14 09:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,12,27,27,27,15,9,39,0.0,1015,27,10,67,13
2018-12-14 12:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,12,28,28,29,15,6,35,0.0,1012,28,10,69,13
2018-12-14 15:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,13,26,26,26,15,46,43,0.0,1012,26,10,76,9
2018-12-14 18:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,15,25,25,23,28,14,64,0.0,1014,23,10,67,17
2018-12-14 21:00:00,28,18,0.0,8.7,1,1,43,11:46 AM,11:46 PM,06:33 AM,05:55 PM,17,20,20,20,24,23,85,0.0,1016,20,10,65,17
2018-12-15 00:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,14,19,19,19,28,10,76,0.0,1015,19,10,50,19
2018-12-15 03:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,14,18,18,18,22,6,79,0.0,1015,18,10,60,14
2018-12-15 06:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,14,20,20,20,26,3,68,0.0,1016,20,10,52,21
2018-12-15 09:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,13,26,26,25,19,7,48,0.0,1015,25,10,62,17
2018-12-15 12:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,13,27,27,26,21,18,45,0.0,1013,26,10,53,18
2018-12-15 15:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,15,25,25,24,19,22,58,0.0,1012,24,10,57,12
2018-12-15 18:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,16,21,21,21,27,13,76,0.0,1015,21,10,55,18
2018-12-15 21:00:00,26,18,0.0,8.7,1,1,51,12:25 PM,No moonset,06:33 AM,05:56 PM,15,18,18,18,25,13,83,0.0,1016,18,10,52,18
2018-12-16 00:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,14,18,18,18,28,3,78,0.0,1016,18,10,48,19
2018-12-16 03:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,15,18,18,18,15,0,80,0.0,1015,17,10,33,11
2018-12-16 06:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,14,19,19,19,26,0,71,0.0,1016,19,10,30,20
2018-12-16 09:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,14,25,25,24,17,0,51,0.0,1015,24,10,18,15
2018-12-16 12:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,13,26,26,26,19,9,44,0.0,1012,26,10,6,17
2018-12-16 15:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,14,25,25,23,19,7,57,0.0,1012,23,10,357,13
2018-12-16 18:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,10,20,20,20,24,11,54,0.0,1014,20,10,8,14
2018-12-16 21:00:00,26,17,0.0,8.7,1,1,58,01:04 PM,12:33 AM,06:34 AM,05:56 PM,10,18,18,18,17,31,60,0.0,1015,18,10,12,10
2018-12-17 00:00:00,26,16,0.0,8.7,1,1,65,01:43 PM,01:21 AM,06:34 AM,05:57 PM,10,18,18,18,17,19,61,0.0,1014,17,10,359,10
2018-12-17 03:00:00,26,16,0.0,8.7,1,1,65,01:43 PM,01:21 AM,06:34 AM,05:57 PM,9,17,17,17,18,10,63,0.0,1014,16,10,334,10
2018-12-17 06:00:00,26,16,0.0,8.7,1,1,65,01:43 PM,01:21 AM,06:34 AM,05:57 PM,9,19,19,19,20,3,53,0.0,1016,18,10,333,14
2018-12-17 09:00:00,26,16,0.0,8.7,1,1,65,01:43 PM,01:21 AM,06:34 AM,05:57 PM,8,25,25,24,21,0,35,0.0,1013,24,10,325,18
